gate_mode,family,transform,severity,acc,auc,ap,ece,mean_gate,mean_severity
one,jpeg,jpeg_q30,1.0,0.655,0.7590999999999999,0.7366862271778833,0.10336213408620099,0.9855023787915707,1.0
one,blur,blur_s0.5,0.35,0.6875,0.798325,0.7708913935803474,0.05266970119904727,0.9863276064395905,0.35
one,blur,blur_s1.0,0.7,0.7125,0.8573999999999999,0.8335908998854313,0.07680971769150348,0.9861692626774311,0.7
one,blur,blur_s2.0,1.0,0.3025,0.23190000000000005,0.35292688381949,0.4276508467551321,0.9882056917250156,1.0
one,resize,resize_x0.5,0.55,0.6525,0.7808499999999999,0.7365945836041989,0.0936638732510619,0.9868043005466461,0.5499999999999998
one,resize,resize_x0.25,1.0,0.4225,0.396275,0.41704126044056633,0.2972581680258736,0.9872757643461227,1.0
one,noise,noise_s0.02,0.3,0.68,0.7789,0.7738347848016573,0.07652670222800224,0.9852975885570049,0.29999999999999993
one,noise,noise_s0.05,0.65,0.645,0.7014750000000001,0.7258709443148974,0.09246047388762234,0.9850060160458088,0.6500000000000001
one,noise,noise_s0.1,1.0,0.5725,0.6353500000000001,0.6573561984596596,0.13140854390803725,0.9851727437973022,1.0
one,color_jitter,color_jitter,0.25,0.595,0.64235,0.6161828788230572,0.11797060567885635,0.9866361267864704,0.25
one,center_crop,center_crop,0.2,0.7225,0.8806,0.8609610703535732,0.06912871148670093,0.9861005777120591,0.2
one,screenshot,screenshot_92_90,0.45,0.7125,0.863325,0.8373167849984355,0.07190073589794338,0.9858005158603191,0.4500000000000001
one,screenshot,screenshot_85_75,0.7,0.71,0.8757999999999999,0.8657285863869243,0.07364717282122,0.985501818805933,0.7
one,screenshot,screenshot_75_60,0.9,0.7025,0.91975,0.9108481350843267,0.09448770342103674,0.9853082321584224,0.9000000000000002
learned,clean,clean,0.0,0.595,0.66315,0.6345068646806552,0.11022895610192787,0.9868245658278465,0.0
learned,jpeg,jpeg_q90,0.25,0.6075,0.6834749999999999,0.6537230148769757,0.13295993874780837,0.9868095383048058,0.25
learned,jpeg,jpeg_q70,0.5,0.615,0.6602,0.6291897656889662,0.11907491879304873,0.9866480122506619,0.5
learned,jpeg,jpeg_q50,0.75,0.595,0.668075,0.6295986009482457,0.1250979065755382,0.9868408079445362,0.75
