gate_mode,family,transform,severity,acc,auc,ap,ece,mean_gate,mean_severity
zero,clean,clean,0.0,0.8425,,,0.08334554877132179,0.9942769554257392,0.0
zero,jpeg,jpeg_q90,0.25,0.825,,,0.0793323997780681,0.9941432109475136,0.25
zero,jpeg,jpeg_q70,0.5,0.8175,,,0.059087309315800654,0.9932293413579464,0.5
zero,jpeg,jpeg_q50,0.75,0.6325,,,0.07838453312404453,0.9874015273153782,0.75
zero,jpeg,jpeg_q30,1.0,0.745,,,0.04635715298354624,0.9887881623208523,1.0
zero,blur,blur_s0.5,0.35,0.825,,,0.07638248279690742,0.9821002671122551,0.35
zero,blur,blur_s1.0,0.7,0.8375,,,0.08171188911423084,0.919482174962759,0.7
zero,blur,blur_s2.0,1.0,0.8625,,,0.1537254586070776,0.8625839555263519,1.0
zero,resize,resize_x0.5,0.55,0.8475,,,0.1167790839076042,0.9000272443890571,0.5499999999999998
zero,resize,resize_x0.25,1.0,0.8275,,,0.14845463570207357,0.863355677574873,1.0
zero,noise,noise_s0.02,0.3,0.7,,,0.05738829519599675,0.9918605783581733,0.29999999999999993
zero,noise,noise_s0.05,0.65,0.42,,,0.26899569845758375,0.9700794649124146,0.6500000000000001
zero,noise,noise_s0.1,1.0,0.3,,,0.3635485224984586,0.9224183905124664,1.0
zero,color_jitter,color_jitter,0.25,0.8675,,,0.08098075535148384,0.9944371883571148,0.25
zero,center_crop,center_crop,0.2,0.855,,,0.08010689893737437,0.9295729991793632,0.2
zero,screenshot,screenshot_92_90,0.45,0.7825,,,0.051792890243232255,0.9529610572755337,0.4500000000000001
zero,screenshot,screenshot_85_75,0.7,0.765,,,0.058477052059024544,0.9439389359951019,0.7
zero,screenshot,screenshot_75_60,0.9,0.7,,,0.04901454789564016,0.9338217104971409,0.9000000000000002
one,clean,clean,0.0,0.9725,,,0.020306627722457067,0.9942769554257392,0.0
one,jpeg,jpeg_q90,0.25,0.97,,,0.015077933087013625,0.9941432109475136,0.25
one,jpeg,jpeg_q70,0.5,0.9675,,,0.0242825593799353,0.9932293413579464,0.5
one,jpeg,jpeg_q50,0.75,0.9675,,,0.02670356706716117,0.9874015273153782,0.75
one,jpeg,jpeg_q30,1.0,0.9025,,,0.023741571884020214,0.9887881623208523,1.0
one,blur,blur_s0.5,0.35,0.9125,,,0.030851721849758186,0.9821002671122551,0.35
one,blur,blur_s1.0,0.7,0.8075,,,0.045689876810647526,0.919482174962759,0.7
one,blur,blur_s2.0,1.0,0.76,,,0.05639725005254148,0.8625839555263519,1.0
one,resize,resize_x0.5,0.55,0.8025,,,0.03883632951881739,0.9000272443890571,0.5499999999999998
one,resize,resize_x0.25,1.0,0.6125,,,0.14846197526203472,0.863355677574873,1.0
one,noise,noise_s0.02,0.3,0.9625,,,0.016533519634977033,0.9917594347894192,0.29999999999999993
one,noise,noise_s0.05,0.65,0.96,,,0.03306139621883629,0.9697777298092842,0.6500000000000001
one,noise,noise_s0.1,1.0,0.98,,,0.06066753566265107,0.9216082124412059,1.0
one,color_jitter,color_jitter,0.25,0.9775,,,0.015782926492392976,0.9941746275126934,0.25
one,center_crop,center_crop,0.2,0.9075,,,0.015247927592135953,0.9295729991793632,0.2
one,screenshot,screenshot_92_90,0.45,0.8975,,,0.025215099225752033,0.9529610572755337,0.4500000000000001
one,screenshot,screenshot_85_75,0.7,0.865,,,0.04153568681795153,0.9439389359951019,0.7
one,screenshot,screenshot_75_60,0.9,0.8175,,,0.06122510795481502,0.9338217104971409,0.9000000000000002
learned,clean,clean,0.0,0.9725,,,0.020511978808790486,0.9942769554257392,0.0
learned,jpeg,jpeg_q90,0.25,0.97,,,0.015160046191886045,0.9941432109475136,0.25
learned,jpeg,jpeg_q70,0.5,0.9675,,,0.026158740203827573,0.9932293413579464,0.5
learned,jpeg,jpeg_q50,0.75,0.965,,,0.02622359283268448,0.9874015273153782,0.75
learned,jpeg,jpeg_q30,1.0,0.9025,,,0.024373583781416523,0.9887881623208523,1.0
learned,blur,blur_s0.5,0.35,0.9125,,,0.034797592462855395,0.9821002671122551,0.35
learned,blur,blur_s1.0,0.7,0.815,,,0.042187061568256475,0.919482174962759,0.7
learned,blur,blur_s2.0,1.0,0.79,,,0.06552204651758073,0.8625839555263519,1.0
learned,resize,resize_x0.5,0.55,0.815,,,0.039019090197980416,0.9000272443890571,0.5499999999999998
learned,resize,resize_x0.25,1.0,0.6425,,,0.11458394893445077,0.863355677574873,1.0
learned,noise,noise_s0.02,0.3,0.955,,,0.015065594771876956,0.9917702916264534,0.29999999999999993
learned,noise,noise_s0.05,0.65,0.96,,,0.041960525643080476,0.9700463376939297,0.6500000000000001
learned,noise,noise_s0.1,1.0,0.97,,,0.0652161598019302,0.9227381455898285,1.0
learned,color_jitter,color_jitter,0.25,0.9775,,,0.019957250375300623,0.9941815310716628,0.25
learned,center_crop,center_crop,0.2,0.9075,,,0.01872801544144753,0.9295729991793632,0.2
learned,screenshot,screenshot_92_90,0.45,0.895,,,0.02418452795827765,0.9529610572755337,0.4500000000000001
learned,screenshot,screenshot_85_75,0.7,0.87,,,0.029255694581661357,0.9439389359951019,0.7
learned,screenshot,screenshot_75_60,0.9,0.82,,,0.06689404083881526,0.9338217104971409,0.9000000000000002
